ds_name,D,l_min,l_max,k_max,r,n_avg
length=500,5,50,50,5,3.1546206094209746,500.0
length=1000,5,50,50,5,2.2616308563839906,1000.0
length=2000,5,50,50,5,3.595677563206018,2000.0
length=5000,5,50,50,5,3.5992893097166956,5000.0
length=10000,5,50,50,5,2.982245933143411,10000.0
dimension=3,3,50,50,5,3.70210268560932,1000.0
dimension=5,5,50,50,5,2.2616308563839906,1000.0
dimension=10,10,50,50,5,2.353819429990546,1000.0
dimension=20,20,50,50,5,2.9080033091847404,1000.0
dimension=30,30,50,50,5,2.4619011589078874,1000.0
dimension=50,50,50,50,5,2.4771854714065284,1000.0
dimension=100,100,50,50,5,2.4247887229679836,1000.0
